OKTMO;Title;RegionID
01512000000;Залесовский муниципальный округ;1
01539000000;Муниципальный округ город Славгород;1
01541000000;Муниципальный округ Суетский район;1
01558000000;Муниципальный округ Чарышский район;1
01601000000;Алейский муниципальный район;1
01602000000;Алтайский муниципальный район;1
01603000000;Баевский муниципальный район;1
01604000000;Бийский муниципальный район;1
01605000000;Благовещенский муниципальный район;1
01606000000;Бурлинский муниципальный район;1
01607000000;Быстроистокский муниципальный район;1
01608000000;Волчихинский муниципальный район;1
01609000000;Егорьевский муниципальный район;1
01610000000;Ельцовский муниципальный район;1
01611000000;Завьяловский муниципальный район;1
01613000000;Заринский муниципальный район;1
01614000000;Змеиногорский муниципальный район;1
01615000000;Калманский муниципальный район;1
01616000000;Каменский муниципальный район;1
01617000000;Ключевский муниципальный район;1
01618000000;Косихинский муниципальный район;1
01619000000;Красногорский муниципальный район;1
01620000000;Краснощёковский муниципальный район;1
01621000000;Крутихинский муниципальный район;1
01622000000;Кулундинский муниципальный район;1
01623000000;Курьинский муниципальный район;1
01624000000;Кытмановский муниципальный район;1
01625000000;Локтевский муниципальный район;1
01626000000;Мамонтовский муниципальный район;1
01627000000;Михайловский муниципальный район;1
01628000000;Новичихинский муниципальный район;1
01629000000;Зональный муниципальный район;1
01630000000;Павловский муниципальный район;1
01631000000;Панкрушихинский муниципальный район;1
01632000000;Первомайский муниципальный район;1
01633000000;Петропавловский муниципальный район;1
01634000000;Поспелихинский муниципальный район;1
01635000000;Ребрихинский муниципальный район;1
01636000000;Родинский муниципальный район;1
01637000000;Романовский муниципальный район;1
01638000000;Рубцовский муниципальный район;1
01640000000;Смоленский муниципальный район;1
01642000000;Советский муниципальный район;1
01643000000;Солонешенский муниципальный район;1
01644000000;Солтонский муниципальный район;1
01645000000;Шелаболихинский муниципальный район;1
01646000000;Табунский муниципальный район;1
01647000000;Тальменский муниципальный район;1
01648000000;Тогульский муниципальный район;1
01649000000;Топчихинский муниципальный район;1
01650000000;Третьяковский муниципальный район;1
01651000000;Троицкий муниципальный район;1
01652000000;Тюменцевский муниципальный район;1
01653000000;Угловский муниципальный район;1
01654000000;Усть-Калманский муниципальный район;1
01655000000;Усть-Пристанский муниципальный район;1
01656000000;Хабарский муниципальный район;1
01657000000;Целинный муниципальный район;1
01659000000;Шипуновский муниципальный район;1
01660000000;Немецкий национальный муниципальный район;1
01701000000;город Барнаул;1
01703000000;город Алейск;1
01704000000;город Белокуриха;1
01705000000;город Бийск;1
01706000000;город Заринск;1
01713000000;город Новоалтайск;1
01716000000;город Рубцовск;1
01730000000;город Яровое;1
01755000000;ЗАТО Сибирский;1
03601000000;Абинский муниципальный район;31
03605000000;Апшеронский муниципальный район;31
03607000000;Белоглинский муниципальный район;31
03608000000;Белореченский муниципальный район;31
03610000000;Брюховецкий муниципальный район;31
03612000000;Выселковский муниципальный район;31
03613000000;Гулькевичский муниципальный район;31
03614000000;Динской муниципальный район;31
03616000000;Ейский муниципальный район;31
03618000000;Кавказский муниципальный район;31
03619000000;Калининский муниципальный район;31
03620000000;Каневской муниципальный район;31
03621000000;Кореновский муниципальный район;31
03623000000;Красноармейский муниципальный район;31
03624000000;Крыловский муниципальный район;31
03625000000;Крымский муниципальный район;31
03627000000;Курганинский муниципальный район;31
03628000000;Кущевский муниципальный район;31
03630000000;Лабинский муниципальный район;31
03632000000;Ленинградский муниципальный район;31
03633000000;Мостовский муниципальный район;31
03634000000;Новокубанский муниципальный район;31
03635000000;Новопокровский муниципальный район;31
03637000000;Отрадненский муниципальный район;31
03639000000;Павловский муниципальный район;31
03641000000;Приморско-Ахтарский муниципальный район;31
03643000000;Северский муниципальный район;31
03645000000;Славянский муниципальный район;31
03647000000;Староминский муниципальный район;31
03649000000;Тбилисский муниципальный район;31
03651000000;Темрюкский муниципальный район;31
03653000000;Тимашевский муниципальный район;31
03654000000;Тихорецкий муниципальный район;31
03655000000;Туапсинский муниципальный район;31
03656000000;Успенский муниципальный район;31
03657000000;Усть-Лабинский муниципальный район;31
03659000000;Щербиновский муниципальный район;31
03701000000;город Краснодар;31
03703000000;город-курорт Анапа;31
03705000000;город Армавир;31
03708000000;город-курорт Геленджик;31
03709000000;город Горячий Ключ;31
03720000000;город Новороссийск;31
03726000000;город-курорт Сочи;31
03731000000;Сириус;31
04545000000;Пировский муниципальный округ;32
04555000000;Тюхтетский муниципальный округ;32
04558000000;Шарыповский муниципальный округ;32
04601000000;Абанский муниципальный район;32
04603000000;Ачинский муниципальный район;32
04604000000;Балахтинский муниципальный район;32
04605000000;Березовский муниципальный район;32
04606000000;Бирилюсский муниципальный район;32
04608000000;Боготольский муниципальный район;32
04609000000;Богучанский муниципальный район;32
04610000000;Большемуртинский муниципальный район;32
04611000000;Большеулуйский муниципальный район;32
04613000000;Дзержинский муниципальный район;32
04614000000;Емельяновский муниципальный район;32
04615000000;Енисейский муниципальный район;32
04616000000;Ермаковский муниципальный район;32
04617000000;Идринский муниципальный район;32
04618000000;Иланский муниципальный район;32
04619000000;Ирбейский муниципальный район;32
04620000000;Казачинский муниципальный район;32
04621000000;Канский муниципальный район;32
04622000000;Каратузский муниципальный район;32
04624000000;Кежемский муниципальный район;32
04626000000;Козульский муниципальный район;32
04628000000;Краснотуранский муниципальный район;32
04630000000;Курагинский муниципальный район;32
04631000000;Манский муниципальный район;32
04633000000;Минусинский муниципальный район;32
04635000000;Мотыгинский муниципальный район;32
04637000000;Назаровский муниципальный район;32
04639000000;Нижнеингашский муниципальный район;32
04641000000;Новоселовский муниципальный район;32
04643000000;Партизанский муниципальный район;32
04647000000;Рыбинский муниципальный район;32
04648000000;Саянский муниципальный район;32
04649000000;Северо-Енисейский муниципальный район;32
04650000000;Эвенкийский муниципальный район;32
04651000000;Сухобузимский муниципальный район;32
04652000000;Тасеевский муниципальный район;32
04653000000;Таймырский Долгано-Ненецкий муниципальный район;32
04654000000;Туруханский муниципальный район;32
04656000000;Ужурский муниципальный район;32
04657000000;Уярский муниципальный район;32
04659000000;Шушенский муниципальный район;32
04701000000;город Красноярск;32
04703000000;город Ачинск;32
04706000000;город Боготол;32
04707000000;город Бородино;32
04709000000;город Дивногорск;32
04712000000;город Енисейск;32
04720000000;город Канск;32
04722000000;город Лесосибирск;32
04723000000;город Минусинск;32
04726000000;город Назарово;32
04729000000;город Норильск;32
04733000000;город Сосновоборск;32
04735000000;ЗАТО город Железногорск;32
04737000000;ЗАТО город Зеленогорск;32
04740000000;город Шарыпово;32
04775000000;поселок Кедровый;32
04780000000;ЗАТО поселок Солнечный;32
05557000000;Шкотовский муниципальный округ;52
05559000000;Яковлевский муниципальный округ;52
05502000000;Анучинский муниципальный округ;52
05510000000;Кавалеровский муниципальный округ;52
05514000000;Красноармейский муниципальный округ;52
05517000000;Лазовский муниципальный округ;52
05526000000;Октябрьский муниципальный округ;52
05528000000;Ольгинский муниципальный округ;52
05530000000;Партизанский муниципальный округ;52
05532000000;Пограничный муниципальный округ;52
05534000000;Пожарский муниципальный округ;52
05540000000;Тернейский муниципальный округ;52
05546000000;Ханкайский муниципальный округ;52
05548000000;Хасанский муниципальный округ;52
05550000000;Хорольский муниципальный округ;52
05553000000;Черниговский муниципальный округ;52
05555000000;Чугуевский муниципальный округ;52
05607000000;Дальнереченский муниципальный район;52
05612000000;Кировский муниципальный район;52
05620000000;Михайловский муниципальный район;52
05623000000;Надеждинский муниципальный район;52
05637000000;Спасский муниципальный район;52
05701000000;Владивостокский;52
05703000000;Арсеньевский;52
05705000000;Артемовский;52
05706000000;Большой Камень;52
05707000000;Дальнегорский;52
05708000000;Дальнереченский;52
05711000000;Лесозаводский;52
05714000000;Находкинский;52
05717000000;Партизанский;52
05720000000;Спасск-Дальний;52
05723000000;Уссурийский;52
05747000000;ЗАТО Фокино;52
07502000000;Александровский муниципальный округ;74
07503000000;Андроповский муниципальный округ;74
07505000000;Апанасенковский муниципальный округ;74
07507000000;Арзгирский муниципальный округ;74
07510000000;Благодарненский муниципальный округ;74
07512000000;Буденновский муниципальный округ;74
07515000000;Георгиевский муниципальный округ;74
07517000000;Грачевский муниципальный округ;74
07520000000;Изобильненский муниципальный округ;74
07522000000;Ипатовский муниципальный округ;74
07525000000;Кировский муниципальный округ;74
07528000000;Кочубеевский муниципальный округ;74
07530000000;Красногвардейский муниципальный округ;74
07533000000;Курский муниципальный округ;74
07536000000;Левокумский муниципальный округ;74
07539000000;Минераловодский муниципальный округ;74
07541000000;Нефтекумский муниципальный округ;74
07543000000;Новоалександровский муниципальный округ;74
07544000000;Новоселицкий муниципальный округ;74
07546000000;Петровский муниципальный округ;74
07548000000;Предгорный муниципальный округ;74
07550000000;Советский муниципальный округ;74
07552000000;Степновский муниципальный округ;74
07554000000;Труновский муниципальный округ;74
07556000000;Туркменский муниципальный округ;74
07558000000;Шпаковский муниципальный округ;74
07701000000;город Ставрополь;74
07710000000;город-курорт Ессентуки;74
07712000000;город-курорт Железноводск;74
07715000000;город-курорт Кисловодск;74
07718000000;город Лермонтов;74
07724000000;город Невинномысск;74
07727000000;город-курорт Пятигорск;74
08534000000;Охотский муниципальный округ;82
08603000000;Амурский муниципальный район;82
08606000000;Аяно-Майский муниципальный район;82
08609000000;Бикинский муниципальный район;82
08612000000;Ванинский муниципальный район;82
08614000000;Верхнебуреинский муниципальный район;82
08617000000;Вяземский муниципальный район;82
08620000000;Комсомольский муниципальный район;82
08624000000;Муниципальный район имени Лазо;82
08628000000;Нанайский муниципальный район;82
08631000000;Николаевский муниципальный район;82
08637000000;Муниципальный район имени Полины Осипенко;82
08642000000;Советско-Гаванский муниципальный район;82
08644000000;Солнечный муниципальный район;82
08646000000;Тугуро-Чумиканский муниципальный район;82
08650000000;Ульчский муниципальный район;82
08655000000;Хабаровский муниципальный район;82
08701000000;город Хабаровск;82
08709000000;город Комсомольск-на-Амуре;82
10505000000;Архаринский муниципальный округ;2
10508000000;Белогорский муниципальный округ;2
10511000000;Благовещенский муниципальный округ;2
10515000000;Бурейский муниципальный округ;2
10521000000;Завитинский муниципальный округ;2
10525000000;Зейский муниципальный округ;2
10528000000;Ивановский муниципальный округ;2
10540000000;Ромненский муниципальный округ;2
10547000000;Серышевский муниципальный округ;2
10549000000;Сковородинский муниципальный округ;2
10551000000;Тамбовский муниципальный округ;2
