ID;Title;ManagmentID
1;Отдел правового сопровождения центрального аппарата;3
2;Отдел регионального правового обеспечения;3
3;Отдел кадрового обеспечения и отчетности;4
4;Отдел кадрового и архивного делопроизводства;4
5;Отдел по работе с персоналом дистанционного режима работы в ЦФО и СЗФО;5
6;Отдел по работе с персоналом дистанционного режима работы в ЮФО и СКФО;5
7;Отдел по работе с персоналом дистанционного режима работы в ПФО и УФО;5
8;Отдел по работе с персоналом дистанционного режима работы в СФО и ДФО;5
9;Отдел методического обеспечения;6
10;Отдел обеспечения образовательной деятельности;6
11;Отдел по работе с ВДЦ;6
12;Отдел реализации проектов и программ в сфере воспитательной работы;7
13;Отдел реализации проектов и программ в сфере добровольчества;7
14;"Отдел реализации проектов в сфере социальной активности обучающихся начальных классов ""Орлята России""";8
15;Отдел взаимодействия с региональными ресурсными центрами;8
16;Отдел реализации проектов и программ в сфере патриотического воспитания граждан;8
17;Отдел реализации проектов и программ в сфере воспитательной работы;8
18;Отдел программного сопровождения реализации проектов;9
19;Отдел организационного сопровождения реализации проектов;9
20;Финансово-экономический отдел;10
21;Отдел планирования и отчетности;11
22;Отдел организации закупок;11
23;Общий отдел;12
24;Отдел материально-технического обеспечения;12
25;Отдел информационных технологий;13
26;Отдел медиапроизводства и интернет-контента;13
27;Отдел по учету обязательств и санкционированию расходов;14
28;Отдел учета основных средств и товарно-материальных ценностей;14
29;Отдел учета расчетов с подотчетными лицами;14
30;Отдел учета банковских операций;14
31;Отдел по налоговому учету заработной платы;14
32;1 отдел начисления заработной платы;14
33;2 отдел начисления заработной платы;14
34;3 отдел начисления заработной платы;14
35;Отдел регионального взаимодействия;15
36;"Отдел внутреннего 
финансового контроля";16
37;Аналитический отдел;16
38;Отдел мониторинга результатов деятельности;16
