ID;Title
1;Администрация
2;Пресс-служба
3;Управление правового обеспечения
4;Управление кадрового обеспечения и делопроизводства 
5;Управление по работе с персоналом дистанционного режима работы 
6;Управление организационно-методического обеспечения
7;Управление национальных проектов и программ
8;Управление реализации федеральных проектов и программ 
9;Управление сопровождения реализации проектов
10;Управление финансов
11;Контрактное управление
12;Административно-хозяйственное управление
13;Управление информационных технологий
14;Бухгалтерия
15;Отдел регионального взаимодействия
16;Управление контроля и аналитического обеспечения
