ID;Title
1;Директор
2;Первый заместитель директора
3;Заместитель директора по правовому и кадровому обеспечению
4;Директор учебного центра
5;Заместитель директора по реализации федеральных проектов и программ
6;Заместитель директора по финансово-экономическому обеспечению
7;Заместитель директора по организационно-административной и хозяйственной деятельности
8;Советник директора
9;Руководитель пресс-службы
10;Ведущий специалист
11;Специалист
12;Начальник управления
13;Начальник отдела
14;Заместитель начальника отдела
15;Ведущий юрисконсульт
16;Юрисконсульт
17;Ведущий специалист по кадрам
18;Специалист по кадрам
19;Специалист по охране труда
20;Специалист по воинскому учету
21;Специалист по кадровому делопроизводству
22;Заместитель начальника управления
23;Специалист по документационному обеспечению персонала
24;Методист
25;Главный эксперт
26;Ведущий эксперт
27;Специалист по методическому сопровождению
28;Специалист по медиасопровождению
29;Специалист по сопровождению проектов и программ
30;Специалист по аналитической деятельности
31;Эксперт
32;Эксперт СПО
33;Ведущий экономист
34;Экономист
35;Ведущий документовед
36;Документовед
37;Делопроизводитель
38;Секретарь
39;Главный бухгалтер
40;Заместитель главного бухгалтера
41;Бухгалтер
42;Ведущий бухгалтер
43;Специалист по работе с молодежью
44;Ведущий аналитик
45;Аналитик
